Time,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,kraken
2024-07-01 00:18:00 UTC,62755.0,62591.7727272727,,62585.4936462094,65085.21,62590.58,62542.9571428571
2024-07-01 00:19:00 UTC,62755.0,62595.32,,62589.8210285714,65007.4033333333,62594.736,62543.2428571429
2024-07-01 00:20:00 UTC,62773.0,62614.75,,62613.8702766798,64850.0,62610.8054545455,62586.5
2024-07-01 00:21:00 UTC,62795.5,62638.1818181818,,62635.6861009174,65091.575,62637.0146808511,62630.8333333333
2024-07-01 00:22:00 UTC,62799.0,62607.6666666667,,62619.1538636364,65200.3966666667,62628.7390909091,62620.2
2024-07-01 00:23:00 UTC,,62609.5714285714,,62612.9735918368,65003.54,62627.8625,62614.8555555556
2024-07-01 00:24:00 UTC,62790.6666666667,62597.8947368421,,62594.6870149254,64823.91,62581.22875,62607.6545454545
2024-07-01 00:25:00 UTC,,62591.4285714286,,62586.8120080321,64850.0,62588.97,62589.88
2024-07-01 00:26:00 UTC,,62609.7272727273,,62603.0520960699,65022.4933333333,62598.045,62589.8333333333
2024-07-01 00:27:00 UTC,62776.8571428571,62618.6470588235,,62616.4317365269,65022.0966666667,62617.448,62589.88
2024-07-01 00:28:00 UTC,62794.3636363636,62644.75,,62641.0297761194,65188.24,62645.78,62596.9
2024-07-01 00:29:00 UTC,62806.0,62636.1071428571,,62634.5607655502,65005.71,62631.772,62608.675
2024-07-01 00:30:00 UTC,62804.5555555556,62621.2666666667,,62617.2541545894,65093.1825,62612.97,62608.0461538462
2024-07-01 00:31:00 UTC,,62609.8333333333,,62615.1215384615,65184.0166666667,62621.1375,62609.7
2024-07-01 00:32:00 UTC,62801.0,62616.5833333333,,62621.3238053097,65095.7925,62619.4266666667,62611.35
2024-07-01 00:33:00 UTC,62804.4,62650.3913043478,,62645.1942553192,64850.0,62644.9475,62621.26
2024-07-01 00:34:00 UTC,,62646.2631578947,,62646.1538211382,64965.0275,62652.46,62621.2428571429
2024-07-01 00:35:00 UTC,,62653.1489361702,,62646.0792075472,65019.5766666667,62642.246,62621.2666666667
2024-07-01 00:36:00 UTC,,62639.0833333333,,62637.8214155251,65095.68,62643.264,62621.2666666667
2024-07-01 00:37:00 UTC,62815.0,62643.3333333333,,62638.3050396825,65159.5933333333,62651.2846666667,62621.25
2024-07-01 00:38:00 UTC,62818.5,62661.4166666667,,62659.3609595959,65092.075,62655.9030555556,62621.275
2024-07-01 00:39:00 UTC,62835.6666666667,62672.6923076923,,62673.0262548263,64824.4333333333,62680.00875,62621.2375
2024-07-01 00:40:00 UTC,62854.2857142857,62704.1,,62695.8139069767,64974.4175,62688.026,62661.4818181818
2024-07-01 00:41:00 UTC,62880.9,62739.8620689655,,62738.0774733096,65080.605,62740.67,62694.6454545455
2024-07-01 00:42:00 UTC,,62745.2142857143,,62734.2065608466,65008.1166666667,,62715.7875
2024-07-01 00:43:00 UTC,62890.0,62702.6,,62704.2522282608,65103.5375,62700.5333333333,62701.1333333333
2024-07-01 00:44:00 UTC,62890.8,62719.7333333333,,62718.2348412698,64850.0,62717.5833333333,62698.95
2024-07-01 00:45:00 UTC,62891.3333333333,62738.8,,62728.3504268293,64850.0,62749.935,62699.0444444444
2024-07-01 00:46:00 UTC,62899.1666666667,62754.9,,62751.4993478261,65099.6725,62750.94,62717.7666666667
2024-07-01 00:47:00 UTC,62906.0,62764.875,,62758.2201086957,65008.95,,62750.01
2024-07-01 00:48:00 UTC,62937.4545454545,62779.8125,,62782.9588950277,64850.0,62788.26,62752.025
2024-07-01 00:49:00 UTC,62940.3333333333,62776.3333333333,,62774.5922159091,65092.015,62792.0,62752.075
2024-07-01 00:50:00 UTC,62952.0,62765.2,,62761.9843055556,65051.206,62767.8015384615,62752.04
2024-07-01 00:51:00 UTC,62950.7142857143,62765.4,,62763.2321348314,65104.84,62762.478,62761.0444444444
2024-07-01 00:52:00 UTC,62939.4,62764.0,,62760.1383673469,65089.74,62763.5016666667,62759.5666666667
2024-07-01 00:53:00 UTC,,62773.4,,62773.4682122905,65017.8566666667,62774.55,62760.06
2024-07-01 00:54:00 UTC,62928.0833333333,62763.1666666667,,62739.1040285714,65087.155,62727.9683333333,62760.3375
2024-07-01 00:55:00 UTC,62935.0,62774.2,,62772.0802,64850.0,62781.75,62760.78
2024-07-01 00:56:00 UTC,62935.0,62776.4,,62767.42152,65089.885,62765.9466666667,62761.26
2024-07-01 00:57:00 UTC,62937.0,62773.0,,62783.4359748428,64967.165,62780.5611111111,62762.95
2024-07-01 00:58:00 UTC,62974.2,62832.7555555556,,62834.2978787879,64946.308,62827.565,62796.0727272727
2024-07-01 00:59:00 UTC,63006.0,62847.6,,62843.5969426752,64850.0,62840.7766666667,62819.3571428571
2024-07-01 01:00:00 UTC,63024.1666666667,62871.6,,62881.3045104895,65098.0425,62880.5576190476,62857.4
2024-07-01 01:01:00 UTC,63043.0,62868.5,,62864.4367634855,65176.6733333333,62865.56,62877.325
2024-07-01 01:02:00 UTC,63011.8,62855.1,,62833.4370437956,65078.17,62812.8265625,62839.2545454545
2024-07-01 01:03:00 UTC,63021.5,62852.0,,62842.0520888889,64821.432,62846.732,62828.5142857143
2024-07-01 01:04:00 UTC,63046.6,62880.4615384615,,62881.5111403509,65017.3866666667,62882.985,62841.4777777778
2024-07-01 01:05:00 UTC,63065.8,62914.6956521739,,62920.8911811024,65110.79,62919.3924285714,62863.3666666667
2024-07-01 01:06:00 UTC,63210.6859649123,63073.9385964912,63052.4,63132.3508223201,65091.565,63093.9297727273,63051.1545454546
2024-07-01 01:07:00 UTC,63346.8727272727,63185.1428571429,,63189.5338367347,65002.57,63213.4133333333,63180.22
2024-07-01 01:08:00 UTC,63312.2631578947,63165.1818181818,,63184.000125448,64949.124,63202.07,63182.685
2024-07-01 01:09:00 UTC,63376.1951219512,63226.380952381,,63228.3518302387,64967.4875,63234.115,63221.8304347826
2024-07-01 01:10:00 UTC,63370.6724137931,63209.75,,63241.6028338279,65141.165,63206.6278947368,63214.2
2024-07-01 01:11:00 UTC,63526.5214723926,63345.3333333333,,63362.0588899167,65678.4388888889,63344.2570454545,63305.9775510204
